genre_name,coordinate_top,coordinate_left,estimated_mood
modern indie pop,7830,777,Atmospheric/Calm
funk rj,6166,1278,Atmospheric/Calm
plugg,6084,955,Atmospheric/Calm
anime rock,3711,408,Atmospheric/Calm
merseybeat,14847,636,Atmospheric/Calm
reggae fusion,10020,1090,Atmospheric/Calm
shoegaze,9401,255,Deep/Acoustic
tamil hip hop,6766,915,Atmospheric/Calm
britpop,6827,374,Deep/Acoustic
australian rock,9352,542,Atmospheric/Calm
industrial metal,2657,447,Atmospheric/Calm
baroque pop,13034,559,Atmospheric/Calm
brooklyn indie,8546,447,Atmospheric/Calm
pop argentino,5742,845,Atmospheric/Calm
r&b en espanol,5718,1073,Atmospheric/Calm
trance,2046,624,Atmospheric/Calm
turkish trap,5174,1051,Atmospheric/Calm
thai pop,7743,708,Atmospheric/Calm
lilith,12056,583,Atmospheric/Calm
indian instrumental,12921,790,Atmospheric/Calm
downtempo,4888,802,Atmospheric/Calm
southern rock,12031,547,Atmospheric/Calm
sophisti-pop,5961,748,Atmospheric/Calm
punjabi hip hop,7202,1095,Atmospheric/Calm
polish trap,6236,1040,Atmospheric/Calm
socal pop punk,5665,406,Atmospheric/Calm
candy pop,4500,544,Atmospheric/Calm
tamil pop,8626,921,Atmospheric/Calm
rockabilly,15522,763,Atmospheric/Calm
girl group,2638,913,Atmospheric/Calm
uk contemporary r&b,9743,870,Atmospheric/Calm
atl trap,4702,1148,Atmospheric/Calm
old school thrash,10048,238,Deep/Acoustic
classic bollywood,17388,689,Atmospheric/Calm
compositional ambient,20317,366,Deep/Acoustic
gym phonk,2382,953,Atmospheric/Calm
north carolina hip hop,9529,1071,Atmospheric/Calm
dark r&b,7618,729,Atmospheric/Calm
country dawn,10957,578,Atmospheric/Calm
symphonic rock,12884,435,Atmospheric/Calm
tennessee hip hop,4670,1105,Atmospheric/Calm
instrumental lullaby,19708,943,Atmospheric/Calm
pittsburgh rap,9945,1025,Atmospheric/Calm
thrash metal,10007,221,Deep/Acoustic
afropop,11117,967,Atmospheric/Calm
screamo,6702,249,Deep/Acoustic
canadian rock,6124,400,Atmospheric/Calm
kindermusik,13578,1077,Atmospheric/Calm
melodic drill,8213,1182,Atmospheric/Calm
